"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 19 10:52:08 ICT 2023","Mon Jun 19 10:52:15 ICT 2023","7596","","new transaction","","","","create transaction-Pay",""
"passed","Mon Jun 19 10:52:15 ICT 2023","Mon Jun 19 10:52:19 ICT 2023","3637","","new transaction","","","","create transaction-Requested",""
"passed","Mon Jun 19 10:52:50 ICT 2023","Mon Jun 19 10:52:54 ICT 2023","4311","","Notification","","","","user A comment transaction, user B get notification that user A comment ",""
"passed","Mon Jun 19 10:53:25 ICT 2023","Mon Jun 19 10:53:29 ICT 2023","4756","","User Setting","","","","Update first name, last name, email and phone number",""
"passed","Mon Jun 19 10:53:06 ICT 2023","Mon Jun 19 10:53:09 ICT 2023","2870","","Transaction view","","","","likes a transaction",""
"passed","Mon Jun 19 10:51:54 ICT 2023","Mon Jun 19 10:52:01 ICT 2023","6320","","Bank Accounts","","","","should display bank account form errors",""
"passed","Mon Jun 19 10:52:45 ICT 2023","Mon Jun 19 10:52:49 ICT 2023","4179","","Notification","","","","user A like transaction, user B get notification that user A like ",""
"passed","Mon Jun 19 10:53:18 ICT 2023","Mon Jun 19 10:53:24 ICT 2023","6279","","User Setting","","","","user setting form should display",""
"passed","Mon Jun 19 10:53:00 ICT 2023","Mon Jun 19 10:53:06 ICT 2023","6120","","Transaction view","","","","Transaction detail should be displays",""
"passed","Mon Jun 19 10:51:46 ICT 2023","Mon Jun 19 10:51:54 ICT 2023","8196","","Bank Accounts","","","","creates a new bank account",""
"passed","Mon Jun 19 10:52:19 ICT 2023","Mon Jun 19 10:52:23 ICT 2023","3307","","new transaction","","","","create transaction display error",""
"passed","Mon Jun 19 10:52:01 ICT 2023","Mon Jun 19 10:52:04 ICT 2023","2589","","Bank Accounts","","","","Deletes a bank account",""
"passed","Mon Jun 19 10:52:40 ICT 2023","Mon Jun 19 10:52:45 ICT 2023","5379","","Notification","","","","user A Request user B",""
"passed","Mon Jun 19 10:51:24 ICT 2023","Mon Jun 19 10:51:39 ICT 2023","15203","","auth function","","",""," sign-up, login, and logout successfully ",""
"passed","Mon Jun 19 10:52:29 ICT 2023","Mon Jun 19 10:52:39 ICT 2023","10594","","Notification","","","","user A pay user B",""
"passed","Mon Jun 19 10:53:09 ICT 2023","Mon Jun 19 10:53:12 ICT 2023","2812","","Transaction view","","","","comments on a transaction",""
